Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
02/11/2024,46,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,32,6,46,15
02/12/2024,57,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,30,13,57,22
02/13/2024,61,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,26,16,61,16
02/14/2024,45,PM2.5,Paradise-Clark,06-007-2003,AQS,5,37,6,45,8
02/15/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,2,38,5,28,7
02/16/2024,43,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,28,6,43,11
02/17/2024,36,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,36,6,36,16
02/18/2024,42,Ozone,Paradise-Clark,06-007-2003,AQS,2,42,2,15,7
02/19/2024,42,Ozone,Paradise-Clark,06-007-2003,AQS,2,42,1,17,2
02/20/2024,35,Ozone,Chico-East Avenue,06-007-0008,AQS,2,35,4,22,8
02/21/2024,37,Ozone,Chico-East Avenue,06-007-0008,AQS,2,37,2,24,7
02/22/2024,36,Ozone,Chico-East Avenue,06-007-0008,AQS,3,36,5,35,13
02/23/2024,31,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,31,7,31,11
02/24/2024,36,Ozone,Paradise-Clark,06-007-2003,AQS,5,36,6,33,10
02/25/2024,38,Ozone,Paradise-Clark,06-007-2003,AQS,3,38,5,37,8
02/26/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,2,38,4,25,4
02/27/2024,36,Ozone,Chico-East Avenue,06-007-0008,AQS,3,36,10,24,17
02/28/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,5,38,9,33,14
02/29/2024,37,Ozone,Paradise-Clark,06-007-2003,AQS,2,37,5,23,3
03/01/2024,37,Ozone,Paradise-Clark,06-007-2003,AQS,2,37,2,16,5
03/02/2024,37,Ozone,Paradise-Clark,06-007-2003,AQS,2,37,1,15,5
03/03/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,2,38,0,16,2
03/04/2024,40,Ozone,Chico-East Avenue,06-007-0008,AQS,2,40,2,16,4
03/05/2024,36,Ozone,Chico-East Avenue,06-007-0008,AQS,2,36,2,14,5
03/06/2024,32,Ozone,Chico-East Avenue,06-007-0008,AQS,5,32,3,24,20
03/07/2024,38,Ozone,Paradise-Clark,06-007-2003,AQS,2,38,2,19,8
03/08/2024,39,Ozone,Chico-East Avenue,06-007-0008,AQS,3,39,5,23,12
03/09/2024,36,Ozone,Chico-East Avenue,06-007-0008,AQS,2,36,4,30,3
03/10/2024,42,Ozone,Paradise-Clark,06-007-2003,AQS,2,42,4,19,2
03/11/2024,40,Ozone,Paradise-Clark,06-007-2003,AQS,2,40,1,16,7
03/12/2024,38,Ozone,Paradise-Clark,06-007-2003,AQS,2,38,3,23,6
03/13/2024,42,Ozone,Paradise-Clark,06-007-2003,AQS,2,42,0,15,7
03/14/2024,39,Ozone,Paradise-Clark,06-007-2003,AQS,2,39,3,7,8
03/15/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,3,38,10,10,23
03/16/2024,41,Ozone,Chico-East Avenue,06-007-0008,AQS,2,41,6,26,12
03/17/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,2,38,5,34,9
03/18/2024,44,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,42,11,44,18
03/19/2024,49,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,43,11,49,
03/20/2024,43,Ozone,Paradise-Clark,06-007-2003,AQS,2,43,10,34,
03/21/2024,42,Ozone,Chico-East Avenue,06-007-0008,AQS,2,42,6,26,8
03/22/2024,38,Ozone,Paradise-Clark,06-007-2003,AQS,2,38,6,19,5
03/23/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,2,38,1,19,1
03/24/2024,37,Ozone,Chico-East Avenue,06-007-0008,AQS,2,37,1,15,5
03/25/2024,36,Ozone,Paradise-Clark,06-007-2003,AQS,3,36,3,21,11
03/26/2024,40,Ozone,Chico-East Avenue,06-007-0008,AQS,2,40,6,33,7
03/27/2024,38,Ozone,Paradise-Clark,06-007-2003,AQS,2,38,3,16,3
03/28/2024,40,Ozone,Chico-East Avenue,06-007-0008,AQS,2,40,3,22,2
03/29/2024,40,Ozone,Chico-East Avenue,06-007-0008,AQS,2,40,2,17,4
03/30/2024,37,Ozone,Paradise-Clark,06-007-2003,AQS,2,37,0,8,3
03/31/2024,39,Ozone,Paradise-Clark,06-007-2003,AQS,2,39,2,9,5
04/01/2024,40,Ozone,Chico-East Avenue,06-007-0008,AQS,2,40,4,17,6
04/02/2024,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,8,31,13
04/03/2024,39,Ozone,Paradise-Clark,06-007-2003,AQS,2,39,9,28,10
04/04/2024,41,Ozone,Chico-East Avenue,06-007-0008,AQS,2,41,4,13,4
04/05/2024,39,Ozone,Chico-East Avenue,06-007-0008,AQS,2,39,2,12,6
04/06/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,3,38,5,19,12
04/07/2024,41,Ozone,Chico-East Avenue,06-007-0008,AQS,2,41,4,23,10
04/08/2024,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,7,13,10
04/09/2024,43,Ozone,Paradise-Clark,06-007-2003,AQS,2,43,6,27,9
04/10/2024,43,Ozone,Chico-East Avenue,06-007-0008,AQS,3,43,13,42,11
04/11/2024,49,Ozone,Chico-East Avenue,06-007-0008,AQS,3,49,19,47,10
04/12/2024,36,Ozone,Paradise-Clark,06-007-2003,AQS,2,36,12,31,4
04/13/2024,80,Ozone,Chico-East Avenue,06-007-0008,AQS,2,80,1,12,3
04/14/2024,50,Ozone,Chico-East Avenue,06-007-0008,AQS,2,50,1,14,3
04/15/2024,37,Ozone,Chico-East Avenue,06-007-0008,AQS,2,37,1,11,6
04/16/2024,38,PM2.5,Paradise-Clark,06-007-2003,AQS,2,38,6,38,7
04/17/2024,35,Ozone,Chico-East Avenue,06-007-0008,AQS,2,35,6,33,8
04/18/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,2,38,13,28,8
04/19/2024,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,12,35,8
04/20/2024,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,11,41,4
04/21/2024,37,Ozone,Chico-East Avenue,06-007-0008,AQS,2,37,6,25,5
04/22/2024,45,Ozone,Chico-East Avenue,06-007-0008,AQS,2,45,17,27,8
04/23/2024,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,19,36,2
04/24/2024,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,16,39,4
